x,y,z,timestamp
-0.55,-0.43,-0.06,1742217152.217695
-0.24,-0.24,0.06,1742217157.3228705
-0.43,-0.37,0.06,1742217162.2888155
-0.37,-0.43,0.0,1742217167.983787
-0.24,-0.43,0.06,1742217172.3752723
-0.55,-0.31,0.06,1742217177.4826903
-0.12,-0.55,0.12,1742217182.297118
-0.37,-0.31,0.06,1742217187.5627544
-0.18,-0.37,0.18,1742217192.532859
-0.18,-0.43,0.06,1742217197.3012614
-0.37,-0.37,0.12,1742217202.4626687
-0.49,-0.37,0.06,1742217207.620645
-0.49,-0.49,0.06,1742217212.2977269
0.06,-0.18,0.12,1742217217.4806595
-0.43,-0.37,0.06,1742217222.2808006
-0.43,-0.37,0.06,1742217227.7020347
-0.49,-0.43,0.0,1742217232.3029292
-0.55,-0.55,0.0,1742217237.2801933
-0.49,-0.43,0.06,1742217242.4717302
-0.12,-0.37,0.06,1742217247.5649748
-0.43,-0.24,0.0,1742217252.362274
-0.98,-0.31,0.0,1742217257.4151082
-0.49,-0.43,0.06,1742217262.600524
-0.55,-0.55,0.0,1742217267.6828346
-0.37,-0.24,0.12,1742217272.528466
-0.31,-0.37,0.06,1742217277.3413484
-0.37,-0.43,0.06,1742217282.4465675
-0.55,-0.43,0.0,1742217287.8161922
-0.67,-0.49,-0.06,1742217292.3956714
-0.31,-0.43,-0.06,1742217297.4946444
-0.49,-0.49,0.0,1742217302.3648598
-0.18,-0.24,0.12,1742217307.781388
-0.37,-0.37,0.06,1742217312.364911
-0.18,-0.37,0.06,1742217317.6423447
-0.43,-0.43,0.12,1742217322.441924
-0.49,-0.37,0.06,1742217327.8405354
-0.49,-0.43,0.06,1742217332.3789382
-0.18,-0.37,0.12,1742217337.3900833
-0.24,-0.37,0.12,1742217342.6022964
-0.37,-0.31,0.06,1742217347.722555
-0.37,-0.37,0.0,1742217352.4191344
-0.37,-0.49,0.06,1742217357.4026377
-0.55,-0.43,0.0,1742217362.4201806
-0.43,-0.43,0.0,1742217367.8196878
0.12,-0.31,0.06,1742217372.4199662
-0.43,-0.24,-0.06,1742217377.4818068
-0.24,-0.43,0.06,1742217382.5296342
0.12,-0.37,-0.18,1742217388.0616055
-0.67,-0.43,0.06,1742217392.5257168
-0.18,-0.24,0.12,1742217397.6514919
0.12,-0.12,0.06,1742217402.459694
-0.55,-0.49,0.0,1742217407.703774
0.12,0.18,-0.12,1742217412.6917188
0.43,0.12,0.37,1742217417.480194
-0.18,-0.49,0.12,1742217422.6021695
-0.73,-1.04,0.73,1742217427.9840477
-0.43,-0.49,0.12,1742217432.499684
-0.49,-0.43,0.12,1742217437.6418686
-0.43,-0.37,0.06,1742217442.4920907
-0.31,-0.43,0.0,1742217447.881361
-0.73,-0.49,0.12,1742217452.6830413
-0.37,-0.37,0.06,1742217457.8135972
-0.24,-0.55,0.24,1742217462.610444
-0.37,-0.37,0.0,1742217468.183648
-0.43,-0.49,0.06,1742217472.8418345
-0.43,0.37,-0.43,1742217477.5397446
-0.31,-0.43,0.06,1742217482.7609768
-0.12,-0.31,0.0,1742217488.0170512
-0.12,-0.37,0.0,1742217492.7024019
-0.49,-0.37,0.0,1742217497.5581481
0.18,-0.24,0.06,1742217502.6076043
-0.55,-0.43,-0.06,1742217507.9193997
-0.31,-0.24,0.12,1742217512.573746
-0.18,-0.24,0.06,1742217517.6515455
-0.55,-0.43,0.0,1742217522.6684308
-0.31,-0.43,0.0,1742217527.9678154
